Learnsets population started at 2024-10-15T18:32:16.037Z
Success: Added move acidspray to ivysaur
Success: Added move trailblaze to ivysaur
Success: Added move sleeptalk to venusaur
Success: Added move bodyslam to charmander
Success: Added move sweetscent to bulbasaur
Success: Added move scaryface to charmeleon
Success: Added move growl to ivysaur
Success: Added move flamecharge to charizard
Success: Added move rage to charmander
Success: Added move seedbomb to bulbasaur
Success: Added move leafstorm to bulbasaur
Success: Added move powerwhip to bulbasaur
Success: Added move bodyslam to venusaur
Success: Added move gigadrain to venusaur
Success: Added move razorleaf to bulbasaur
Success: Added move razorleaf to ivysaur
Success: Added move sleeppowder to bulbasaur
Success: Added move dragontail to charmander
Success: Added move poisonpowder to bulbasaur
Success: Added move sunnyday to bulbasaur
Success: Added move acidspray to venusaur
Success: Added move dragonbreath to charmander
Success: Added move sleeptalk to bulbasaur
Success: Added move facade to charmander
Success: Added move leechseed to bulbasaur
Success: Added move terablast to venusaur
Success: Added move dragonrush to charmander
Success: Added move leechseed to ivysaur
Success: Added move swordsdance to venusaur
Success: Added move weatherball to venusaur
Success: Added move toxic to venusaur
Success: Added move weatherball to ivysaur
Success: Added move dragonclaw to charmander
Success: Added move doubleedge to ivysaur
Success: Added move grasspledge to venusaur
Success: Added move falseswipe to venusaur
Success: Added move poisonjab to venusaur
Success: Added move facade to ivysaur
Success: Added move bite to charmander
Success: Added move brickbreak to charmander
Success: Added move scaryface to venusaur
Success: Added move worryseed to venusaur
Success: Added move roar to ivysaur
Success: Added move sunnyday to venusaur
Success: Added move leafstorm to venusaur
Success: Added move tackle to ivysaur
Success: Added move roar to venusaur
Success: Added move gigadrain to ivysaur
Success: Added move vinewhip to venusaur
Success: Added move leechseed to venusaur
Success: Added move protect to venusaur
Success: Added move takedown to ivysaur
Success: Added move substitute to venusaur
Success: Added move earthquake to venusaur
Success: Added move energyball to venusaur
Success: Added move worryseed to bulbasaur
Success: Added move growl to venusaur
Success: Added move helpinghand to ivysaur
Success: Added move bulletseed to ivysaur
Success: Added move petaldance to bulbasaur
Success: Added move grassyterrain to ivysaur
Success: Added move weatherball to bulbasaur
Success: Added move stompingtantrum to venusaur
Success: Added move tackle to venusaur
Success: Added move trailblaze to venusaur
Success: Added move trailblaze to bulbasaur
Success: Added move knockoff to venusaur
Success: Added move knockoff to ivysaur
Success: Added move ancientpower to charmander
Success: Added move counter to charmander
Success: Added move rest to bulbasaur
Success: Added move sweetscent to venusaur
Success: Added move substitute to bulbasaur
Success: Added move sludgebomb to bulbasaur
Success: Added move toxic to bulbasaur
Success: Added move dig to charmander
Success: Added move doubleedge to venusaur
Success: Added move focuspunch to charmeleon
Success: Added move dragontail to charizard
Success: Added move sunnyday to charmeleon
Success: Added move bodyslam to charmeleon
Success: Added move poisonpowder to venusaur
Success: Added move worryseed to ivysaur
Success: Added move focusblast to charmeleon
Success: Added move fling to charmeleon
Success: Added move dragonclaw to charmeleon
Success: Added move sludgebomb to venusaur
Success: Added move scaryface to charmander
Success: Added move firepledge to charmander
Success: Added move thunderpunch to charmeleon
Success: Added move falseswipe to charmeleon
Success: Added move dragonbreath to charizard
Success: Added move takedown to charmander
Success: Added move growl to charmander
Success: Added move aircutter to charizard
Success: Added move focuspunch to charmander
Success: Added move scratch to charmander
Success: Added move sleeptalk to charmander
Success: Added move rockslide to charmeleon
Success: Added move scratch to charmeleon
Success: Added move inferno to charmander
Success: Added move flamecharge to charmeleon
Success: Added move bellydrum to charizard
Success: Added move heatwave to charmeleon
Success: Added move crunch to charizard
Success: Added move sunnyday to charmander
Success: Added move slash to charmeleon
Success: Added move heatwave to charmander
Success: Added move brickbreak to charizard
Success: Added move airslash to charizard
Success: Added move shadowclaw to charmeleon
Success: Added move swift to charmeleon
Success: Added move crunch to charmander
Success: Added move rockslide to charmander
Success: Added move fling to charizard
Success: Added move terablast to ivysaur
Success: Added move metalclaw to charmander
Success: Added move dragoncheer to charizard
Success: Added move firepledge to charizard
Success: Added move flamethrower to charmander
Success: Added move endure to charmander
Success: Added move swordsdance to charmander
Success: Added move bellydrum to charmander
Success: Added move firepunch to charizard
Success: Added move flamecharge to charmander
Success: Added move endure to charizard
Success: Added move bodyslam to charizard
Success: Added move flareblitz to charmander
Success: Added move rocktomb to charmander
Success: Added move breakingswipe to charmeleon
Success: Added move dragonpulse to charmeleon
Success: Added move fireblast to charmeleon
Success: Added move dragondance to charizard
Success: Added move swordsdance to charmeleon
Success: Added move blastburn to charizard
Success: Added move firepunch to charmander
Success: Added move weatherball to charmeleon
Success: Added move bulldoze to charizard
Success: Added move firepunch to charmeleon
Success: Added move ember to charmeleon
Success: Added move rest to ivysaur
Success: Added move vinewhip to bulbasaur
Success: Added move irontail to charmander
Success: Added move acrobatics to charizard
Success: Added move fling to charmander
Success: Added move firepledge to charmeleon
Success: Added move shadowclaw to charmander
Success: Added move crunch to charmeleon
Success: Added move smokescreen to charmeleon
Success: Added move flareblitz to charizard
Success: Added move roar to charmander
Success: Added move willowisp to charmeleon
Success: Added move temperflare to charmeleon
Success: Added move firefang to charmeleon
Success: Added move dig to charmeleon
Success: Added move inferno to charmeleon
Success: Added move outrage to charmeleon
Success: Added move grasspledge to ivysaur
Success: Added move protect to charmeleon
Success: Added move protect to charmander
Success: Added move firefang to charizard
Success: Added move swift to charmander
Success: Added move dragonbreath to charmeleon
Success: Added move overheat to charmander
Success: Added move seedbomb to ivysaur
Success: Added move helpinghand to venusaur
Success: Added move substitute to charmander
Success: Added move dragontail to charmeleon
Success: Added move fireblast to charizard
Success: Added move willowisp to charmander
Success: Added move growl to charmeleon
Success: Added move endure to charmeleon
Success: Added move brickbreak to charmeleon
Success: Added move grassyterrain to venusaur
Success: Added move ember to charmander
Success: Added move slash to charmander
Success: Added move focusblast to charizard
Success: Added move takedown to bulbasaur
Success: Added move aerialace to charizard
Success: Added move rest to venusaur
Success: Added move outrage to charmander
Success: Added move firespin to charmeleon
Success: Added move flamethrower to charmeleon
Success: Added move substitute to charmeleon
Success: Added move sleeppowder to ivysaur
Success: Added move facade to charmeleon
Success: Added move roar to charmeleon
Success: Added move rest to charmander
Success: Added move firefang to charmander
Success: Added move powerwhip to ivysaur
Success: Added move temperflare to charmander
Success: Added move dig to charizard
Success: Added move flareblitz to charmeleon
Success: Added move terablast to charmeleon
Success: Added move overheat to charmeleon
Success: Added move sleeptalk to charmeleon
Success: Added move fireblast to charmander
Success: Added move venoshock to bulbasaur
Success: Added move dragonpulse to charizard
Success: Added move falseswipe to charmander
Success: Added move rocktomb to charmeleon
Success: Added move dragondance to charmeleon
Success: Added move breakingswipe to charizard
Success: Added move substitute to ivysaur
Success: Added move firespin to charmander
Success: Added move helpinghand to charmeleon
Success: Added move heatcrash to charizard
Success: Added move hurricane to charizard
Success: Added move outrage to charizard
Success: Added move heatwave to charizard
Success: Added move growl to charizard
Success: Added move helpinghand to charizard
Success: Added move hyperbeam to charizard
Success: Added move overheat to charizard
Success: Added move focuspunch to charizard
Success: Added move gigaimpact to charizard
Success: Added move inferno to charizard
Success: Added move roar to charizard
Success: Added move aquaring to squirtle
Success: Added move rockslide to charizard
Success: Added move icepunch to squirtle
Success: Added move irondefense to squirtle
Success: Added move shadowclaw to charizard
Success: Added move lifedew to squirtle
Success: Added move icespinner to squirtle
Success: Added move rocktomb to charizard
Success: Added move weatherball to squirtle
Success: Added move blizzard to wartortle
Success: Added move endure to wartortle
Success: Added move surf to wartortle
Success: Added move temperflare to charizard
Success: Added move sunnyday to charizard
Success: Added move scaryface to charizard
Success: Added move swordsdance to charizard
Success: Added move scorchingsands to charizard
Success: Added move slash to charizard
Success: Added move terablast to charizard
Success: Added move takedown to charizard
Success: Added move waterpledge to blastoise
Success: Added move waterpulse to blastoise
Success: Added move weatherball to charizard
Success: Added move sleeptalk to blastoise
Success: Added move substitute to blastoise
Success: Added move dig to squirtle
Success: Added move aquajet to squirtle
Success: Added move fling to squirtle
Success: Added move rest to blastoise
Success: Added move facade to squirtle
Success: Added move bite to squirtle
Success: Added move endure to squirtle
Success: Added move bodyslam to squirtle
Success: Added move chillingwater to squirtle
Success: Added move flail to squirtle
Success: Added move flipturn to squirtle
Success: Added move focuspunch to squirtle
Success: Added move blizzard to squirtle
Success: Added move helpinghand to squirtle
Success: Added move fakeout to squirtle
Success: Added move haze to squirtle
Success: Added move doubleedge to squirtle
Success: Added move leer to ekans
Success: Added move mudshot to ekans
Success: Added move leechlife to ekans
Success: Added move mudslap to ekans
Success: Added move poisonfang to ekans
Success: Added move scratch to charizard
Success: Added move poisonjab to ekans
Success: Added move sandstorm to charizard
Success: Added move protect to charizard
Success: Added move protect to ekans
Success: Added move tackle to squirtle
Success: Added move tailwhip to squirtle
Success: Added move raindance to ekans
Success: Added move rapidspin to squirtle
Success: Added move poisontail to ekans
Success: Added move surf to squirtle
Success: Added move mist to squirtle
Success: Added move sleeptalk to squirtle
Success: Added move sludgebomb to ekans
Success: Added move rest to squirtle
Success: Added move terablast to squirtle
Success: Added move scaryface to ekans
Success: Added move snarl to ekans
Success: Added move waterspout to squirtle
Success: Added move spite to ekans
Success: Added move sludgewave to ekans
Success: Added move suckerpunch to ekans
Success: Added move takedown to squirtle
Success: Added move wavecrash to squirtle
Success: Added move mudshot to squirtle
Success: Added move bite to wartortle
Success: Added move solarbeam to charizard
Success: Added move bodyslam to wartortle
Success: Added move chillingwater to wartortle
Success: Added move switcheroo to ekans
Success: Added move doubleedge to wartortle
Success: Added move brickbreak to wartortle
Success: Added move shellsmash to squirtle
Success: Added move dig to wartortle
Success: Added move waterpulse to squirtle
Success: Added move sleeptalk to charizard
Success: Added move bite to arbok
Success: Added move zenheadbutt to squirtle
Success: Added move wrap to ekans
Success: Added move bodyslam to arbok
Success: Added move focuspunch to wartortle
Success: Added move gyroball to wartortle
Success: Added move coil to arbok
Success: Added move fling to wartortle
Success: Added move facade to wartortle
Success: Added move smokescreen to charizard
Success: Added move flipturn to wartortle
Success: Added move dragontail to arbok
Success: Added move liquidation to wartortle
Success: Added move icywind to wartortle
Success: Added move haze to wartortle
Success: Added move icepunch to wartortle
Success: Added move irondefense to wartortle
Success: Added move raindance to wartortle
Success: Added move icespinner to wartortle
Success: Added move mudshot to wartortle
Success: Added move protect to wartortle
Success: Added move dig to blastoise
Success: Added move rapidspin to wartortle
Success: Added move avalanche to blastoise
Success: Added move substitute to wartortle
Success: Added move waterpulse to wartortle
Success: Added move tackle to wartortle
Success: Added move bite to blastoise
Success: Added move bodyslam to blastoise
Success: Added move watergun to wartortle
Success: Added move chillingwater to blastoise
Success: Added move zenheadbutt to wartortle
Success: Added move swift to charizard
Success: Added move darkpulse to blastoise
Success: Added move brickbreak to blastoise
Success: Added move tailwhip to wartortle
Success: Added move terablast to wartortle
Success: Added move bodypress to blastoise
Success: Added move shellsmash to wartortle
Success: Added move withdraw to wartortle
Success: Added move waterpledge to wartortle
Success: Added move aurasphere to blastoise
Success: Added move blizzard to blastoise
Success: Added move takedown to wartortle
Success: Added move sleeptalk to wartortle
Success: Added move whirlpool to wartortle
Success: Added move wavecrash to wartortle
Success: Added move aquatail to blastoise
Success: Added move doubleedge to blastoise
Success: Added move icepunch to blastoise
Success: Added move hydropump to blastoise
Success: Added move weatherball to wartortle
Success: Added move icywind to blastoise
Success: Added move fling to blastoise
Success: Added move gigaimpact to blastoise
Success: Added move crunch to blastoise
Success: Added move liquidation to blastoise
Success: Added move dragonpulse to blastoise
Success: Added move irondefense to blastoise
Success: Added move focusblast to blastoise
Success: Added move icebeam to blastoise
Success: Added move focuspunch to blastoise
Success: Added move rest to wartortle
Success: Added move earthquake to blastoise
Success: Added move flashcannon to blastoise
Success: Added move hyperbeam to blastoise
Success: Added move gyroball to blastoise
Success: Added move mudshot to blastoise
Success: Added move flipturn to blastoise
Success: Added move helpinghand to blastoise
Success: Added move raindance to blastoise
Success: Added move hydrocannon to blastoise
Success: Added move rapidspin to blastoise
Success: Added move endure to blastoise
Success: Added move muddywater to blastoise
Success: Added move icespinner to blastoise
Success: Added move haze to blastoise
Success: Added move facade to blastoise
Success: Added move protect to blastoise
Success: Added move scaryface to blastoise
Success: Added move whirlpool to blastoise
Success: Added move thunderpunch to charizard
Success: Added move willowisp to charizard
Success: Added move roar to blastoise
Success: Added move rockslide to blastoise
Success: Added move aquatail to squirtle
Success: Added move takedown to blastoise
Success: Added move brickbreak to squirtle
Success: Added move withdraw to blastoise
Success: Added move wavecrash to blastoise
Success: Added move zenheadbutt to blastoise
Success: Added move rest to charizard
Success: Added move shellsmash to blastoise
Success: Added move weatherball to blastoise
Success: Added move rage to beedrill
Success: Added move silverwind to butterfree
Success: Added move skullbash to blastoise
Success: Added move smackdown to blastoise
Success: Added move toxicspikes to beedrill
Success: Added move whirlwind to pidgey
Success: Added move whirlwind to butterfree
Success: Added move airslash to pidgey
Success: Added move bugbite to weedle
Success: Added move tailwhip to blastoise
Success: Added move assurance to rattata
Success: Added move terablast to blastoise
Success: Added move watergun to blastoise
Success: Added move tackle to blastoise
Success: Added move suckerpunch to rattata
Success: Added move rocktomb to blastoise
Success: Added move surf to blastoise
Success: Added move assurance to rattataalola
Success: Added move gust to pidgey
Success: Added move agility to pidgey
Success: Added move suckerpunch to raticate
Success: Added move bugbite to caterpie
Success: Added move doubleedge to raticate
Success: Added move assurance to raticate
Success: Added move suckerpunch to raticatealola
Success: Added move assurance to spearow
Success: Added move doubleedge to raticatealola
Success: Added move focusenergy to spearow
Success: Added move assurance to raticatealola
Success: Added move doubleedge to raticatealolatotem
Success: Added move pursuit to spearow
Success: Added move furyattack to spearow
Success: Added move suckerpunch to raticatealolatotem
Success: Added move assurance to raticatealolatotem
Success: Added move bite to ekans
Success: Added move darkpulse to ekans
Success: Added move belch to ekans
Success: Added move agility to fearow
Success: Added move acid to ekans
Success: Added move coil to ekans
Success: Added move acidspray to ekans
Success: Added move dig to ekans
Success: Added move earthquake to ekans
Success: Added move crunch to ekans
Success: Added move facade to ekans
Success: Added move endure to ekans
Success: Added move doubleedge to ekans
Success: Added move gastroacid to ekans
Success: Added move firefang to ekans
Success: Added move glare to ekans
Success: Added move gigadrain to ekans
Success: Added move gyroball to squirtle
Success: Added move lashout to ekans
Success: Added move gunkshot to ekans
Success: Added move haze to ekans
Success: Added move icywind to squirtle
Success: Added move knockoff to ekans
Success: Added move hydropump to squirtle
Success: Added move icebeam to squirtle
Success: Added move poisonsting to ekans
Success: Added move liquidation to squirtle
Success: Added move psychicfangs to ekans
Success: Added move rest to ekans
Success: Added move rocktomb to ekans
Success: Added move substitute to charizard
Success: Added move rockslide to ekans
Success: Added move raindance to squirtle
Success: Added move muddywater to squirtle
Success: Added move mirrorcoat to squirtle
Success: Added move scaleshot to ekans
Success: Added move skittersmack to ekans
Success: Added move screech to ekans
Success: Added move seedbomb to ekans
Success: Added move stockpile to ekans
Success: Added move protect to squirtle
Success: Added move watergun to squirtle
Success: Added move waterpledge to squirtle
Success: Added move sleeptalk to ekans
Success: Added move whirlpool to squirtle
Success: Added move spitup to ekans
Success: Added move withdraw to squirtle
Success: Added move sunnyday to ekans
Success: Added move substitute to ekans
Success: Added move substitute to squirtle
Success: Added move swallow to ekans
Success: Added move yawn to squirtle
Success: Added move thief to ekans
Success: Added move toxic to ekans
Success: Added move takedown to ekans
Success: Added move terablast to ekans
Success: Added move acidspray to arbok
Success: Added move toxicspikes to ekans
Success: Added move acid to arbok
Success: Added move venoshock to ekans
Success: Added move belch to arbok
Success: Added move trailblaze to ekans
Success: Added move aquatail to wartortle
Success: Added move hydropump to wartortle
Success: Added move breakingswipe to arbok
Success: Added move darkpulse to arbok
Success: Added move icebeam to wartortle
Success: Added move helpinghand to wartortle
Success: Added move bulldoze to arbok
Success: Added move dig to arbok
Success: Added move doubleedge to arbok
Success: Added move earthquake to arbok
Success: Added move crunch to arbok
Success: Added move firefang to arbok
Success: Added move muddywater to wartortle
Success: Added move facade to arbok
Success: Added move endure to arbok
Success: Added move gastroacid to arbok
Success: Added move gigadrain to arbok
Success: Added move knockoff to arbok
Success: Added move leechlife to arbok
Success: Added move gigaimpact to arbok
Success: Added move haze to arbok
Success: Added move glare to arbok
Success: Added move hyperbeam to arbok
Success: Added move gunkshot to arbok
Success: Added move icefang to arbok
Success: Added move lashout to arbok
Success: Added move electricterrain to pichu
Success: Added move swift to pichu
Success: Added move leer to arbok
Success: Added move protect to pichu
Success: Added move screech to arbok
Success: Added move sweetkiss to pichu
Success: Added move terablast to pichu
Success: Added move mudshot to arbok
Success: Added move tailwhip to pichu
Success: Added move rocktomb to arbok
Success: Added move poisonjab to arbok
Success: Added move sludgebomb to arbok
Success: Added move seedbomb to arbok
Success: Added move thundershock to pikachuoriginal
Success: Added move trailblaze to pikachuoriginal
Success: Added move rest to arbok
Success: Added move poisonsting to arbok
Success: Added move skittersmack to arbok
Success: Added move raindance to arbok
Success: Added move thief to pikachuoriginal
Success: Added move scaleshot to arbok
Success: Added move stompingtantrum to arbok
Success: Added move bodyslam to pikachuhoenn
Success: Added move charm to pikachuhoenn
Success: Added move substitute to arbok
Success: Added move throatchop to arbok
Success: Added move charge to pikachuhoenn
Success: Added move snarl to arbok
Success: Added move sunnyday to arbok
Success: Added move sludgewave to arbok
Success: Added move takedown to arbok
Success: Added move swallow to arbok
Success: Added move toxic to arbok
Success: Added move thief to arbok
Success: Added move terablast to arbok
Success: Added move toxicspikes to arbok
Success: Added move fakeout to pichu
Success: Added move drainingkiss to pikachuhoenn
Success: Added move thunderfang to arbok
Success: Added move trailblaze to arbok
Success: Added move charge to pichu
Success: Added move electroweb to pichu
Success: Added move wrap to arbok
Success: Added move venoshock to arbok
Success: Added move encore to pichu
Success: Added move mudbomb to arbok
Success: Added move disarmingvoice to pichu
Success: Added move feint to pikachuhoenn
Success: Added move facade to pichu
Success: Added move flail to pichu
Success: Added move lightscreen to pikachuhoenn
Success: Added move bodyslam to pichu
Success: Added move grassknot to pichu
Success: Added move rest to pichu
Success: Added move electroball to pichu
Success: Added move fling to pichu
Success: Added move nastyplot to pichu
Success: Added move reflect to pikachuhoenn
Success: Added move nuzzle to pichu
Success: Added move playrough to pichu
Success: Added move sleeptalk to pikachuhoenn
Success: Added move painsplit to arbok
Success: Added move raindance to pichu
Success: Added move poisontail to arbok
Success: Added move reversal to pichu
Success: Added move mudslap to arbok
Success: Added move helpinghand to pichu
Success: Added move protect to arbok
Success: Added move present to pichu
Success: Added move playnice to pichu
Success: Added move thunderpunch to pichu
Success: Added move thunderwave to pichu
Success: Added move tickle to pichu
Success: Added move thunder to pichu
Success: Added move psychicfangs to arbok
Success: Added move thunderbolt to pichu
Success: Added move surf to pichu
Success: Added move alluringvoice to pikachu
Success: Added move takedown to pichu
Success: Added move voltswitch to pichu
Success: Added move upperhand to pikachuhoenn
Success: Added move charge to pikachu
Success: Added move wish to pichu
Success: Added move brickbreak to pikachu
Success: Added move sleeptalk to pichu
Success: Added move doubleteam to pikachu
Success: Added move doubleteam to pikachusinnoh
Success: Added move dig to pikachusinnoh
Success: Added move charm to pikachusinnoh
Success: Added move chargebeam to pikachusinnoh
Success: Added move wildcharge to pichu
Success: Added move electroball to pikachusinnoh
Success: Added move drainingkiss to pikachu
Success: Added move electricterrain to pikachusinnoh
Success: Added move eerieimpulse to pikachusinnoh
Success: Added move endeavor to pikachusinnoh
Success: Added move endeavor to pikachu
Success: Added move bodyslam to pikachu
Success: Added move electroball to pikachu
Success: Added move thundershock to pichu
Success: Added move volttackle to pichu
Success: Added move encore to pikachu
Success: Added move lightscreen to pikachu
Success: Added move fling to pikachu
Success: Added move faketears to pikachu
Success: Added move irontail to pikachu
Success: Added move facade to pikachu
Success: Added move endure to pikachu
Success: Added move knockoff to pikachu
Success: Added move feint to pikachu
Success: Added move chargebeam to pikachu
Success: Added move focuspunch to pikachu
Success: Added move fakeout to pikachu
Success: Added move growl to pikachu
Success: Added move helpinghand to pikachu
Success: Added move disarmingvoice to pikachu
Success: Added move playnice to pikachu
Success: Added move nastyplot to pikachu
Success: Added move grassknot to pikachu
Success: Added move rest to pikachu
Success: Added move nuzzle to pikachu
Success: Added move protect to pikachu
Success: Added move playrough to pikachu
Success: Added move reflect to pikachu
Success: Added move fly to pikachu
Success: Added move quickattack to pikachu
Success: Added move snore to pikachu
Success: Added move sleeptalk to pikachu
Success: Added move present to pikachu
Success: Added move raindance to pikachu
Success: Added move spark to pikachu
Success: Added move trailblaze to pikachu
Success: Added move thief to pikachu
Success: Added move thundershock to pikachu
Success: Added move thunder to pikachu
Success: Added move sweetkiss to pikachu
Success: Added move upperhand to pikachu
Success: Added move reversal to pikachu
Success: Added move swift to pikachu
Success: Added move voltswitch to pikachu
Success: Added move terablast to pikachu
Success: Added move thunderwave to pikachu
Success: Added move tailwhip to pikachu
Success: Added move agility to pikachuoriginal
Success: Added move substitute to pikachu
Success: Added move nuzzle to pikachucosplay
Success: Added move surf to pikachu
Success: Added move volttackle to pikachu
Success: Added move takedown to pikachu
Success: Added move brickbreak to pikachuoriginal
Success: Added move charge to pikachuoriginal
Success: Added move wildcharge to pikachu
Success: Added move bodyslam to pikachuoriginal
Success: Added move chargebeam to pikachuoriginal
Success: Added move dig to pikachuoriginal
Success: Added move thunderbolt to pikachu
Success: Added move thunderpunch to pikachu
Success: Added move electricterrain to pikachuoriginal
Success: Added move alluringvoice to pikachuoriginal
Success: Added move charm to pikachuoriginal
Success: Added move yawn to pikachu
Success: Added move endeavor to pikachuoriginal
Success: Added move electroweb to pikachuoriginal
Success: Added move encore to pikachuoriginal
Success: Added move discharge to pikachuoriginal
Success: Added move disarmingvoice to pikachuoriginal
Success: Added move drainingkiss to pikachuoriginal
Success: Added move endure to pikachuoriginal
Success: Added move doubleteam to pikachuoriginal
Success: Added move electroball to pikachuoriginal
Success: Added move facade to pikachuoriginal
Success: Added move faketears to pikachuoriginal
Success: Added move eerieimpulse to pikachuoriginal
Success: Added move feint to pikachuoriginal
Success: Added move nastyplot to pikachuoriginal
Success: Added move fling to pikachuoriginal
Success: Added move grassknot to pikachuoriginal
Success: Added move irontail to pikachuoriginal
Success: Added move helpinghand to pikachuoriginal
Success: Added move growl to pikachuoriginal
Success: Added move knockoff to pikachuoriginal
Success: Added move focuspunch to pikachuoriginal
Success: Added move lightscreen to pikachuoriginal
Success: Added move nuzzle to pikachuoriginal
Success: Added move protect to pikachuoriginal
Success: Added move spark to pikachuoriginal
Success: Added move raindance to pikachuoriginal
Success: Added move playnice to pikachuoriginal
Success: Added move reflect to pikachuoriginal
Success: Added move playrough to pikachuoriginal
Success: Added move substitute to pikachuoriginal
Success: Added move quickattack to pikachuoriginal
Success: Added move sleeptalk to pikachuoriginal
Success: Added move rest to pikachuoriginal
Success: Added move swift to pikachuoriginal
Success: Added move takedown to pikachuoriginal
Success: Added move sweetkiss to pikachuoriginal
Success: Added move reversal to pikachuoriginal
Success: Added move surf to pikachuoriginal
Success: Added move spite to arbok
Success: Added move tailwhip to pikachuoriginal
Success: Added move terablast to pikachuoriginal
Success: Added move sleeptalk to arbok
Success: Added move thunderwave to pikachuoriginal
Success: Added move thunderpunch to pikachuoriginal
Success: Added move upperhand to pikachuoriginal
Success: Added move thunderbolt to pikachuoriginal
Success: Added move scaryface to arbok
Success: Added move thunder to pikachuoriginal
Success: Added move chargebeam to pikachuhoenn
Success: Added move voltswitch to pikachuoriginal
Success: Added move spitup to arbok
Success: Added move wildcharge to pikachuoriginal
Success: Added move brickbreak to pikachuhoenn
Success: Added move alluringvoice to pikachuhoenn
Success: Added move agility to pikachuhoenn
Success: Added move stockpile to arbok
Success: Added move rockslide to arbok
Success: Added move disarmingvoice to pikachuhoenn
Success: Added move discharge to pikachuhoenn
Success: Added move electricterrain to pikachuhoenn
Success: Added move dig to pikachuhoenn
Success: Added move doubleteam to pikachuhoenn
Success: Added move charm to pichu
Success: Added move electroball to pikachuhoenn
Success: Added move eerieimpulse to pikachuhoenn
Success: Added move electroweb to pikachuhoenn
Success: Added move endure to pikachuhoenn
Success: Added move encore to pikachuhoenn
Success: Added move grassknot to pikachuhoenn
Success: Added move faketears to pikachuhoenn
Success: Added move facade to pikachuhoenn
Success: Added move endeavor to pikachuhoenn
Success: Added move focuspunch to pikachuhoenn
Success: Added move helpinghand to pikachuhoenn
Success: Added move endure to pichu
Success: Added move irontail to pikachuhoenn
Success: Added move growl to pikachuhoenn
Success: Added move fling to pikachuhoenn
Success: Added move knockoff to pikachuhoenn
Success: Added move nastyplot to pikachuhoenn
Success: Added move lightscreen to pichu
Success: Added move nuzzle to pikachuhoenn
Success: Added move protect to pikachuhoenn
